commune,liste,ordre, nom, prenom
Fort-de-France, COMBAT OUVRIER, 1, JEAN-MARIE, Gabriel
Fort-de-France, COMBAT OUVRIER, 1, MARTHE-DITE-SURELLY, Marie-Hellen
Fort-de-France, DEMOCRATES ET PROGRESSISTES, 2, LAGUERRE, Didier
Fort-de-France, DEMOCRATES ET PROGRESSISTES, 2, CHANDEY, Annie
Circonscription,Liste,Ordre,Nom,Prénom,Nationalité
Fort-de-France,COMBAT OUVRIER,1,JEAN-MARIE,Gabriel,Française
Fort-de-France,COMBAT OUVRIER,2,MARTHE-DITE-SURELLY,Marie-Hellen,Française
Fort-de-France,COMBAT OUVRIER,3,MAUGEE,Louis,Française
Fort-de-France,COMBAT OUVRIER,4,DIGONAL,Rosette,Française
Fort-de-France,COMBAT OUVRIER,5,BONHEUR,Daniel,Française
Fort-de-France,COMBAT OUVRIER,6,COLLOT,Annie,Française
Fort-de-France,COMBAT OUVRIER,7,MARTAIL,Fred,Française
Fort-de-France,COMBAT OUVRIER,8,SOREL,Véronique,Française
Fort-de-France,COMBAT OUVRIER,9,BATTET,Michel,Française
Fort-de-France,COMBAT OUVRIER,10,LEPRIX,Madjanie,Française
